['draw_foe.py', '5.avi', 'online']
['second', 'image', 'is', './pgm_sample/5.avi/00000276.pgm', '277\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000277.pgm', '278\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000278.pgm', '279\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000279.pgm', '280\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000280.pgm', '281\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000281.pgm', '282\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000282.pgm', '283\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000283.pgm', '284\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000284.pgm', '285\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000285.pgm', '286\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000286.pgm', '287\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000287.pgm', '288\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000288.pgm', '289\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000289.pgm', '290\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000290.pgm', '291\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000291.pgm', '292\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000292.pgm', '293\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000293.pgm', '294\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000294.pgm', '295\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000295.pgm', '296\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000296.pgm', '297\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000297.pgm', '298\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000298.pgm', '299\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000299.pgm', '300\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000300.pgm', '301\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000301.pgm', '302\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000302.pgm', '303\n']
